name,offset,size,shape,dtype
model.decoder.layers.27.self_attn.out_proj.weight,40930693120,26214400,2560x2560,torch.float32
model.decoder.layers.27.self_attn.out_proj.bias,40956907520,10240,2560,torch.float32
model.decoder.layers.27.self_attn_layer_norm.weight,40956917760,10240,2560,torch.float32
model.decoder.layers.27.self_attn_layer_norm.bias,40956928000,10240,2560,torch.float32
model.decoder.layers.27.fc1.weight,40956938240,104857600,10240x2560,torch.float32
model.decoder.layers.27.fc1.bias,41061795840,40960,10240,torch.float32
model.decoder.layers.27.fc2.weight,41061836800,104857600,2560x10240,torch.float32
model.decoder.layers.27.fc2.bias,41166694400,10240,2560,torch.float32
model.decoder.layers.27.final_layer_norm.weight,41166704640,10240,2560,torch.float32
model.decoder.layers.27.final_layer_norm.bias,41166714880,10240,2560,torch.float32
model.decoder.layers.28.self_attn.k_proj.weight,41166725120,26214400,2560x2560,torch.float32
model.decoder.layers.28.self_attn.k_proj.bias,41192939520,10240,2560,torch.float32
model.decoder.layers.28.self_attn.v_proj.weight,41192949760,26214400,2560x2560,torch.float32
model.decoder.layers.28.self_attn.v_proj.bias,41219164160,10240,2560,torch.float32
model.decoder.layers.28.self_attn.q_proj.weight,41219174400,26214400,2560x2560,torch.float32
model.decoder.layers.28.self_attn.q_proj.bias,41245388800,10240,2560,torch.float32
model.decoder.layers.28.self_attn.out_proj.weight,41245399040,26214400,2560x2560,torch.float32
model.decoder.layers.28.self_attn.out_proj.bias,41271613440,10240,2560,torch.float32
model.decoder.layers.28.self_attn_layer_norm.weight,41271623680,10240,2560,torch.float32
model.decoder.layers.28.self_attn_layer_norm.bias,41271633920,10240,2560,torch.float32
model.decoder.layers.28.fc1.weight,41271644160,104857600,10240x2560,torch.float32
model.decoder.layers.28.fc1.bias,41376501760,40960,10240,torch.float32
model.decoder.layers.28.fc2.weight,41376542720,104857600,2560x10240,torch.float32
model.decoder.layers.28.fc2.bias,41481400320,10240,2560,torch.float32
model.decoder.layers.28.final_layer_norm.weight,41481410560,10240,2560,torch.float32
model.decoder.layers.28.final_layer_norm.bias,41481420800,10240,2560,torch.float32
model.decoder.layers.29.self_attn.k_proj.weight,41481431040,26214400,2560x2560,torch.float32
model.decoder.layers.29.self_attn.k_proj.bias,41507645440,10240,2560,torch.float32
model.decoder.layers.29.self_attn.v_proj.weight,41507655680,26214400,2560x2560,torch.float32
model.decoder.layers.29.self_attn.v_proj.bias,41533870080,10240,2560,torch.float32
model.decoder.layers.29.self_attn.q_proj.weight,41533880320,26214400,2560x2560,torch.float32
model.decoder.layers.29.self_attn.q_proj.bias,41560094720,10240,2560,torch.float32
model.decoder.layers.29.self_attn.out_proj.weight,41560104960,26214400,2560x2560,torch.float32
model.decoder.layers.29.self_attn.out_proj.bias,41586319360,10240,2560,torch.float32
model.decoder.layers.29.self_attn_layer_norm.weight,41586329600,10240,2560,torch.float32
model.decoder.layers.29.self_attn_layer_norm.bias,41586339840,10240,2560,torch.float32
model.decoder.layers.29.fc1.weight,41586350080,104857600,10240x2560,torch.float32
model.decoder.layers.29.fc1.bias,41691207680,40960,10240,torch.float32
model.decoder.layers.29.fc2.weight,41691248640,104857600,2560x10240,torch.float32
model.decoder.layers.29.fc2.bias,41796106240,10240,2560,torch.float32
model.decoder.layers.29.final_layer_norm.weight,41796116480,10240,2560,torch.float32
model.decoder.layers.29.final_layer_norm.bias,41796126720,10240,2560,torch.float32
model.decoder.layers.30.self_attn.k_proj.weight,41796136960,26214400,2560x2560,torch.float32
model.decoder.layers.30.self_attn.k_proj.bias,41822351360,10240,2560,torch.float32
model.decoder.layers.30.self_attn.v_proj.weight,41822361600,26214400,2560x2560,torch.float32
model.decoder.layers.30.self_attn.v_proj.bias,41848576000,10240,2560,torch.float32
model.decoder.layers.30.self_attn.q_proj.weight,41848586240,26214400,2560x2560,torch.float32
model.decoder.layers.30.self_attn.q_proj.bias,41874800640,10240,2560,torch.float32
model.decoder.layers.30.self_attn.out_proj.weight,41874810880,26214400,2560x2560,torch.float32
model.decoder.layers.30.self_attn.out_proj.bias,41901025280,10240,2560,torch.float32
model.decoder.layers.30.self_attn_layer_norm.weight,41901035520,10240,2560,torch.float32
model.decoder.layers.30.self_attn_layer_norm.bias,41901045760,10240,2560,torch.float32
model.decoder.layers.30.fc1.weight,41901056000,104857600,10240x2560,torch.float32
model.decoder.layers.30.fc1.bias,42005913600,40960,10240,torch.float32
model.decoder.layers.30.fc2.weight,42005954560,104857600,2560x10240,torch.float32
model.decoder.layers.30.fc2.bias,42110812160,10240,2560,torch.float32
model.decoder.layers.30.final_layer_norm.weight,42110822400,10240,2560,torch.float32
model.decoder.layers.30.final_layer_norm.bias,42110832640,10240,2560,torch.float32
model.decoder.layers.31.self_attn.k_proj.weight,42110842880,26214400,2560x2560,torch.float32
model.decoder.layers.31.self_attn.k_proj.bias,42137057280,10240,2560,torch.float32
model.decoder.layers.31.self_attn.v_proj.weight,42137067520,26214400,2560x2560,torch.float32
model.decoder.layers.31.self_attn.v_proj.bias,42163281920,10240,2560,torch.float32
model.decoder.layers.31.self_attn.q_proj.weight,42163292160,26214400,2560x2560,torch.float32
model.decoder.layers.31.self_attn.q_proj.bias,42189506560,10240,2560,torch.float32
model.decoder.layers.31.self_attn.out_proj.weight,42189516800,26214400,2560x2560,torch.float32
model.decoder.layers.31.self_attn.out_proj.bias,42215731200,10240,2560,torch.float32
model.decoder.layers.31.self_attn_layer_norm.weight,42215741440,10240,2560,torch.float32
model.decoder.layers.31.self_attn_layer_norm.bias,42215751680,10240,2560,torch.float32
model.decoder.layers.31.fc1.weight,42215761920,104857600,10240x2560,torch.float32
model.decoder.layers.31.fc1.bias,42320619520,40960,10240,torch.float32
model.decoder.layers.31.fc2.weight,42320660480,104857600,2560x10240,torch.float32
model.decoder.layers.31.fc2.bias,42425518080,10240,2560,torch.float32
model.decoder.layers.31.final_layer_norm.weight,42425528320,10240,2560,torch.float32
model.decoder.layers.31.final_layer_norm.bias,42425538560,10240,2560,torch.float32
